MFCC_mean_1,MFCC_mean_2,MFCC_mean_3,MFCC_mean_4,MFCC_mean_5,MFCC_mean_6,MFCC_mean_7,MFCC_mean_8,MFCC_mean_9,MFCC_mean_10,MFCC_mean_11,MFCC_mean_12,MFCC_mean_13,MFCC_std_1,MFCC_std_2,MFCC_std_3,MFCC_std_4,MFCC_std_5,MFCC_std_6,MFCC_std_7,MFCC_std_8,MFCC_std_9,MFCC_std_10,MFCC_std_11,MFCC_std_12,MFCC_std_13,F0_mean,F0_std,label,gender,filename
-71.63060798,-0.879109979,3.383887168,-4.696548352,-9.777094717,-10.01569164,-10.9124848,-7.848804836,-6.114038259,-8.640419844,-13.51955856,-11.50404518,-8.578508193,58.36438417,8.395131999,8.623600725,10.1468867,11.30844939,13.94137834,12.32092957,11.85070963,12.15069333,11.39321724,12.25897696,13.03467828,9.233704129,189.8356908,14.26068695,lie,F,trial_lie_001_speakerF_segment01.wav
-44.56775893,-1.464437708,3.78515028,-1.053595463,-21.82895825,-20.82440137,-17.2934964,-16.61715801,-10.43859856,-12.44967815,-11.70940422,-11.97917566,-11.40748262,11.80214383,10.77385617,9.870070354,13.51754043,10.27962533,15.60460027,13.53994437,14.30693585,11.96749337,13.7971483,11.73338322,11.33944413,9.165108631,200.2358587,17.48557648,lie,F,trial_lie_002_speakerF_segment01.wav
-45.68233696,1.882894705,3.684926401,-4.273797069,-21.17610144,-17.42722166,-13.22598915,-10.01117299,-7.253571588,-11.22833152,-10.15314066,-10.3574375,-7.957657524,10.81698794,10.01267523,10.15441681,12.51073416,12.79009103,14.23535692,13.77400942,14.60972213,13.7297197,14.42050986,11.58990793,12.59331015,9.995228354,188.6255635,32.82517878,lie,F,trial_lie_002_speakerF_segment02.wav
-45.450339,-1.001127824,1.495417267,-3.246691176,-21.14296648,-21.58873691,-19.93439722,-15.06441543,-8.653792045,-12.93652311,-12.69319809,-11.8343335,-11.83134999,11.35327227,10.92012458,10.71618896,12.41950453,9.943064025,14.90964004,14.30323181,13.52485317,12.20421532,12.90008142,10.9556937,11.68621216,10.25370299,194.4361476,32.3305832,lie,F,trial_lie_002_speakerF_segment03.wav
-43.11827167,-1.593477214,1.435585628,-4.949856333,-22.03384562,-20.20257776,-16.82226178,-14.93257639,-11.92729484,-13.45899403,-12.66847096,-10.92522204,-11.44017772,11.73612346,10.14551152,10.26174013,12.14923017,11.31391325,15.01667833,13.52754274,12.38339985,11.48998896,13.0094804,9.586019522,11.34015935,9.238754448,201.4560227,15.19383382,lie,F,trial_lie_002_speakerF_segment04.wav
-46.3448246,-1.197340782,1.148765148,-6.189403382,-21.9648273,-19.01323924,-15.17220485,-14.50259,-7.997273009,-9.525582263,-8.848256813,-10.91061458,-10.54250196,12.21971638,10.56283804,10.19381551,13.42658044,13.28602601,14.36791599,12.48065973,12.61584312,11.55881832,12.81754319,10.8347052,11.80357306,10.35536836,207.9113079,20.98935705,lie,F,trial_lie_002_speakerF_segment05.wav
-46.02924973,0.38265348,4.302473898,-4.433575602,-21.1338881,-20.73916173,-18.30868774,-14.73422095,-10.47404188,-15.62313341,-15.22493453,-12.61421109,-11.21582302,11.2069761,10.80100783,9.94948075,11.42612715,12.16739098,13.45340059,10.96811487,12.69112465,10.80653417,13.45304826,9.655983321,11.39670526,8.982623601,184.0068744,27.7367427,lie,F,trial_lie_002_speakerF_segment06.wav
-44.20717878,1.319056381,1.708794689,-5.250597246,-21.7464932,-18.89132905,-15.27859053,-12.88660771,-9.183095786,-15.98666993,-15.46227841,-14.19736936,-11.56098663,10.66613046,9.893900942,11.47220105,10.87403347,10.96917885,13.4260807,11.91083565,14.31345528,11.44857623,12.97602201,10.30232517,11.48800447,9.646328023,195.4804728,11.97856798,lie,F,trial_lie_002_speakerF_segment07.wav
-44.1391419,-0.03680087,5.122150226,-3.467636079,-22.97666635,-23.62063765,-18.24062604,-12.17312807,-9.783951976,-15.13084276,-14.81717921,-11.73389222,-11.0140924,9.520083775,10.41181782,10.34375164,12.57941945,11.07784364,13.23004697,12.82617044,13.63399606,10.53859449,13.6286395,10.11741363,11.21628469,8.899504575,193.5752165,28.40582746,lie,F,trial_lie_002_speakerF_segment08.wav
-47.05028535,0.200384098,4.999241688,-2.625610143,-21.02026519,-21.96750967,-17.24384432,-13.24494259,-10.16685166,-15.06915533,-15.30167253,-12.39277373,-11.22663465,10.58567161,10.03951226,10.04854058,11.59169375,11.06941408,13.55098474,12.82392374,13.47393388,10.34082163,13.72488926,10.35762191,12.33653641,9.258074318,185.8674259,27.98594552,lie,F,trial_lie_002_speakerF_segment09.wav
